Registro;Frecuencia;Memoria;Observaciones;Localidad;Banda;Fecha;Exportar;Comprobado;Mhz;Khz;S;R;CTCSS;DCS;Repetidor;Offset;SECRA;Modo
131;141.6250;0;Packet Radio Desconocido (S:10);N/A;2 m;29/12/2005;VERDADERO;FALSO;141;6250;0;0;;;FALSO;;No;FM
132;230.4875;0;061 (AM);Jaén;2 m;03/01/2006;VERDADERO;FALSO;230;4875;0;0;;;FALSO;;No;FM
133;142.7900;0;Nueva Busqueda;N/A;2 m;05/01/2006;VERDADERO;FALSO;142;7900;0;0;;;FALSO;;No;FM
134;154.8100;0;"Servicio de Ambulancias Rep: -4.6Mhz CTCSS: 79.7hz";N/A;2 m;05/01/2006;VERDADERO;FALSO;154;8100;0;0;;;FALSO;;No;FM
135;152.2750;0;Nueva Busqueda;N/A;2 m;10/01/2006;VERDADERO;FALSO;152;2750;0;0;;;FALSO;;No;FM
136;153.3850;0;S:3 R:2-3;N/A;2 m;26/01/2006;VERDADERO;FALSO;153;3850;0;0;;;FALSO;;No;FM
137;155.7500;0;Teléfono Inalámbrico Cercano;Linares;2 m;06/02/2006;VERDADERO;FALSO;155;7500;0;0;;;FALSO;;No;FM
138;152.3250;0;"Rep: -4.6 Mhz CTCSS: 146.2Hz";N/A;2 m;06/02/2006;VERDADERO;FALSO;152;3250;0;0;146.2;-----;VERDADERO;-4.600;No;FM
139;171.6250;0;Nueva Busqueda;N/A;2 m;06/02/2006;VERDADERO;FALSO;171;6250;0;0;;;FALSO;;No;FM
140;154.9250;0;Nueva Busqueda;N/A;2 m;07/02/2006;VERDADERO;FALSO;154;9250;0;0;;;FALSO;;No;FM
141;149.2650;0;Entra pequeño;N/A;2 m;07/02/2006;VERDADERO;FALSO;149;2650;0;0;;;FALSO;;No;FM
142;163.5250;0;"Policia Local ";Úbeda;2 m;08/02/2006;VERDADERO;VERDADERO;163;5250;0;0;79.7;-----;VERDADERO;-4.600;DMR;FM
143;163.6200;0;"Rep: -4.6Mhz CTCSS: 79.7Hz";N/A;2 m;08/02/2006;VERDADERO;FALSO;163;6200;0;0;;;FALSO;;No;FM
144;920.2125;0;Teléfono Móvil;Linares;900 Mhz;08/02/2006;VERDADERO;VERDADERO;920;2125;0;0;;;FALSO;;No;FM
145;161.8250;0;Nueva Busqueda;N/A;2 m;09/02/2006;VERDADERO;FALSO;161;8250;0;0;;;FALSO;;No;FM
146;448.6500;0;Nueva Busqueda;N/A;70 cm;09/02/2006;VERDADERO;FALSO;448;6500;0;0;;;FALSO;;No;FM
147;173.9650;0;"Rep: -4.6Mhz Posibles Cazadores";N/A;2 m;12/02/2006;VERDADERO;VERDADERO;173;9650;0;0;;;FALSO;;No;FM
148;120.6000;0;Aviones;N/A;2 m;12/02/2006;VERDADERO;VERDADERO;120;6000;0;0;;;FALSO;;No;FM
149;425.3000;0;Pantanos;N/A;70 cm;16/02/2006;VERDADERO;FALSO;425;3000;0;0;;;FALSO;;No;FM
150;172.3250;0;Bomberos;N/A;2 m;24/02/2006;VERDADERO;FALSO;172;3250;0;0;;;FALSO;;No;FM
151;152.9500;0;Bomberos;Úbeda;2 m;24/02/2006;VERDADERO;VERDADERO;152;9500;0;0;;;FALSO;;No;FM
152;163.1000;0;Policía Local 2;Jaén;2 m;24/02/2006;VERDADERO;VERDADERO;163;1000;0;0;;;FALSO;;No;FM
153;157.7400;0;Posibles Particulares;N/A;2 m;11/03/2006;VERDADERO;FALSO;157;7400;0;0;;;FALSO;;No;FM
154;146.6500;0;REMER 3;N/A;2 m;12/03/2006;VERDADERO;VERDADERO;146;6500;0;0;;;FALSO;;No;FM
155;146.6750;0;REMER 4;N/A;2 m;12/03/2006;VERDADERO;VERDADERO;146;6750;0;0;;;FALSO;;No;FM
156;146.7500;0;REMER 6;N/A;2 m;12/03/2006;VERDADERO;VERDADERO;146;7500;0;0;;;FALSO;;No;FM
157;123.8500;0;Aeropuerto Málaga Aproximación;Málaga;2 m;17/03/2006;VERDADERO;VERDADERO;123;8500;3;3;;;FALSO;;No;AM
158;133.8500;0;RADAR;Madrid;2 m;17/03/2006;VERDADERO;VERDADERO;133;8500;0;0;;;FALSO;;No;FM
159;152.1875;0;Policia Local;Bailén;2 m;21/03/2006;VERDADERO;VERDADERO;152;1875;10;5;79.7;-----;VERDADERO;-4.600;NO;FM
160;152.4650;0;Rep: -4.6Mhz;Cabra;2 m;21/03/2006;VERDADERO;FALSO;152;4650;0;0;;;FALSO;;No;FM
161;154.9450;0;Nueva Busqueda;N/A;2 m;22/03/2006;VERDADERO;FALSO;154;9450;0;0;;;FALSO;;No;FM
162;152.3000;0;Policia Local. Posiblemente Arjona;N/A;2 m;30/06/2006;VERDADERO;FALSO;152;3000;0;0;79.7;;VERDADERO;-4.600;No;FM
163;155.2100;0;Nueva Busqueda;N/A;2 m;06/07/2006;VERDADERO;FALSO;155;2100;0;0;;;FALSO;;No;FM
164;150.1500;0;Nueva Busqueda;N/A;2 m;06/07/2006;VERDADERO;FALSO;150;1500;0;0;;;FALSO;;No;FM
165;145.5000;0;Radioaficionados;Linares;2 m;12/07/2006;VERDADERO;FALSO;145;5000;0;0;;;FALSO;;No;FM
166;029.7000;0;Monitor Bebe;Linares;27 Mhz;03/09/2009;VERDADERO;VERDADERO;029;7000;0;0;;;FALSO;;No;FM
167;428.2000;0;Digital;N/A;70 cm;25/09/2009;VERDADERO;FALSO;428;2000;0;0;;;FALSO;;No;FM
168;150.7200;0;Digital;N/A;2 m;25/09/2009;VERDADERO;FALSO;150;7200;0;0;;;FALSO;;No;FM
169;451.5750;0;Digital;N/A;70 cm;25/09/2009;VERDADERO;FALSO;451;5750;0;0;;;FALSO;;No;FM
170;148.6250;0;Mensatel;Linares;2 m;27/09/2009;VERDADERO;FALSO;148;6250;0;0;;;FALSO;;No;FM
171;150.0750;0;Digital;N/A;2 m;27/09/2009;VERDADERO;FALSO;150;0750;0;0;;;FALSO;;No;FM
172;171.9625;0;Digital;N/A;2 m;28/09/2009;VERDADERO;FALSO;171;9625;0;0;;;FALSO;;No;FM
173;171.9000;0;Digital;N/A;2 m;28/09/2009;VERDADERO;FALSO;171;9000;0;0;;;FALSO;;No;FM
174;161.6250;0;Desconocido. Usan Repetidor;N/A;2 m;28/09/2009;VERDADERO;FALSO;161;6250;0;0;;;FALSO;;No;FM
175;158.3000;0;Desconocido. Usan Repetidor;N/A;2 m;28/09/2009;VERDADERO;FALSO;158;3000;0;0;;;FALSO;;No;FM
176;172.3625;0;112;Jaén;2 m;28/09/2009;VERDADERO;VERDADERO;172;3625;0;0;;;FALSO;;No;FM
177;171.8000;0;Digital. Posiblemente Sevillana;N/A;2 m;30/09/2009;VERDADERO;FALSO;171;8000;0;0;;;FALSO;;No;FM
178;171.8750;0;Digital;N/A;2 m;30/09/2009;VERDADERO;FALSO;171;8750;0;0;;;FALSO;;No;FM
179;146.0375;0;Digital;N/A;2 m;30/09/2009;VERDADERO;FALSO;146;0375;0;0;;;FALSO;;No;FM
180;171.9750;0;Digital;N/A;2 m;30/09/2009;VERDADERO;FALSO;171;9750;0;0;;;FALSO;;No;FM
181;428.1950;0;Digital;N/A;70 cm;01/10/2009;VERDADERO;FALSO;428;1950;0;0;;;FALSO;;No;FM
182;007.2100;0;Radio China International AM;N/A;HF;01/10/2009;VERDADERO;VERDADERO;007;2100;0;0;;;FALSO;;No;AM
183;009.7450;0;Radio Rumania Internacional AM;N/A;HF;01/10/2009;VERDADERO;VERDADERO;009;7450;0;0;;;FALSO;;No;AM
184;149.4500;0;Desconocido.;N/A;2 m;01/10/2009;VERDADERO;FALSO;149;4500;0;0;;;FALSO;;No;FM
185;173.6375;0;Nueva Busqueda;N/A;2 m;01/10/2009;VERDADERO;FALSO;173;6375;0;0;;;FALSO;;No;FM
186;031.3000;0;Inalambrico;Linares;27 Mhz;01/10/2009;VERDADERO;VERDADERO;031;3000;0;0;;;FALSO;;No;FM
187;031.1250;0;Inalambrico;Linares;27 Mhz;01/10/2009;VERDADERO;VERDADERO;031;1250;0;0;;;FALSO;;No;FM
188;031.3250;0;Inalambrico;Linares;27 Mhz;01/10/2009;VERDADERO;VERDADERO;031;3250;0;0;;;FALSO;;No;FM
189;031.1750;0;Inalambrico;Linares;27 Mhz;01/10/2009;VERDADERO;VERDADERO;031;1750;0;0;;;FALSO;;No;FM
190;031.1500;0;Inalambrico;Linares;27 Mhz;01/10/2009;VERDADERO;VERDADERO;031;1500;0;0;;;FALSO;;No;FM
