Registro;Frecuencia;Memoria;Observaciones;Localidad;Banda;Fecha;Exportar;Comprobado;Mhz;Khz;S;R;CTCSS;DCS;Repetidor;Offset;SECRA;Modo
229;156.6250;0;Catetos?;N/A;2 m;01/06/2017;VERDADERO;FALSO;156;6250;0;0;-----;-----;FALSO;;0;FM-N
231;154.4500;0;Desconocido. Entran demasiado pequeños. Roger Beeps;N/A;2 m;07/06/2017;VERDADERO;VERDADERO;154;4500;1;0;-----;-----;FALSO;;Secrafonia;FM-N
232;132.6800;0;Control Aereo;Sevilla;2 m;07/06/2017;VERDADERO;FALSO;132;6800;0;0;-----;-----;FALSO;;0;AM
233;153.3750;0;Nueva Busqueda;N/A;2 m;07/06/2017;VERDADERO;FALSO;153;3750;0;0;-----;-----;FALSO;;0;
234;159.2625;0;Nueva Busqueda;N/A;2 m;08/06/2017;VERDADERO;FALSO;159;2625;0;0;-----;-----;FALSO;;0;
235;155.5400;0;Nueva Busqueda;N/A;2 m;09/06/2017;VERDADERO;FALSO;155;5400;0;0;-----;-----;FALSO;;0;
236;153.2500;0;Posible Finca;N/A;2 m;25/07/2017;VERDADERO;FALSO;153;2500;0;0;-----;-----;FALSO;;0;FM-N
237;155.6750;0;Nueva Busqueda;N/A;2 m;02/11/2017;VERDADERO;FALSO;155;6750;0;0;-----;-----;FALSO;;0;
238;440.3000;0;Nueva Busqueda;N/A;70 cm;02/01/2018;VERDADERO;FALSO;440;3000;0;0;-----;-----;FALSO;;0;FM
239;161.8500;0;Desconocido;N/A;2 m;20/01/2018;VERDADERO;FALSO;161;8500;0;0;-----;-----;FALSO;;0;
240;462.1000;0;Nueva Busqueda;N/A;70 cm;22/01/2018;VERDADERO;FALSO;462;1000;0;0;-----;-----;FALSO;;DMR;FM-N
241;159.7875;0;Nueva Busqueda;N/A;2 m;30/01/2018;VERDADERO;FALSO;159;7875;1;2;-----;-----;FALSO;;0;
243;152.7250;0;"Posible Finca La Solana El Puntal";N/A;2 m;20/02/2019;VERDADERO;VERDADERO;152;7250;0;4;-----;-----;FALSO;;0;
244;447.6500;0;RENFE Canal 66;España;70 cm;21/02/2019;VERDADERO;FALSO;447;6500;4;3;-----;-----;FALSO;;0;FM-N
